steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
250566	415	6253.460877895355	1.44830845771141	1.1499999999999948	1.5974351706338414	6.7099999999998445	-1.1799999999999975	0.06591409484017124	3.415328061724376	57641
500081	820	11518.156468629837	1.4260301507537392	1.1600000000000017	1.5922745369773434	7.409999999999801	-1.1499999999999977	0.051597735032641256	3.154993908034034	120020
750526	1226	16330.570276021957	1.4387437185929366	1.020000000000003	1.6580071796362537	7.449999999999868	-1.1999999999999977	0.002508163258204831	2.9258400981387207	182631
1000470	1627	21325.91950583458	1.5101522842639252	1.2399999999999893	1.6814363020690173	6.689999999999837	-1.1999999999999973	0.05677444837715335	2.7311978418121856	245117
1250560	2042	28061.63907766342	0.9079166666666528	0.7299999999999999	1.15482921822049	5.419999999999886	-1.1099999999999977	0.16664597344014145	2.5357903255420013	307639
1500254	2464	34101.12973976135	1.3288613861385894	1.1499999999999915	1.4951597497284073	6.7999999999997955	-1.3799999999999975	0.09923868791910948	2.3513586950113043	370063
1750370	2868	39256.00198531151	1.7543386243385852	1.619999999999992	1.787528369553198	9.019999999999778	-1.2399999999999973	0.19246256705569664	2.185755156015171	432592
2000103	3259	44370.061700582504	1.1271497584540857	0.8899999999999955	1.3834069004529095	4.989999999999892	-1.1099999999999977	0.07797807901235207	2.026161162760075	495025
2250400	3653	49528.07785534859	1.9756521739130022	1.4799999999999542	1.8262573657038095	9.969999999999756	-1.0499999999999976	0.15489935797844406	1.901082904165804	557599
2500095	4024	54693.422353982925	2.329248554913244	2.0099999999999696	1.999721786335484	9.689999999999776	-1.0599999999999976	0.2125788052417865	1.779635846985848	620023
2750285	4357	59881.954676389694	5.576033057851096	5.159999999999881	2.9848007971886137	18.380000000000326	0.38000000000000367	0.16740983316481386	1.7117218125985674	682571
3000025	4611	65063.24064874649	7.337669902912447	6.799999999999799	3.509261752396091	19.930000000000632	0.9300000000000046	0.2617622012384124	1.652241699558588	745006
3251076	4803	70242.84427881241	6.619724770642045	6.149999999999827	3.501390585847028	19.160000000000274	-0.009999999999995901	0.2553718506939264	1.618982143410298	807768
3501261	4944	75416.95667719841	11.55142857142853	10.469999999999715	5.916194036684605	26.000000000001535	1.0500000000000027	0.3745480498899493	1.5816578409593962	870315
3750461	5048	80596.44142818451	23.66456521739246	27.00000000000173	6.427720074982138	31.00000000000204	7.879999999999811	0.46407517246341506	1.527500120899809	932615
4000562	5140	85752.17536640167	23.067234042554215	26.00000000000138	6.210272241505012	31.00000000000189	6.189999999999828	0.556724875558195	1.4521998436462584	995140
4250259	5229	90912.03967356682	25.99186046511767	27.00000000000189	4.457631901643329	31.000000000002068	13.429999999999652	0.6229693094864176	1.360501972353904	1057564
4500536	5313	96103.9810886383	29.682926829270155	30.00000000000189	1.1713032141646118	33.00000000000189	26.000000000001712	0.7263914048791824	1.2827270254014227	1120133
4752536	5397	101289.51548194885	29.39024390244084	29.00000000000189	1.2821475886280433	32.00000000000207	27.000000000001535	0.7773630175914705	1.2182148822480812	1183133
5001280	5480	106402.16479897499	29.78048780487993	30.00000000000189	1.1070726065158187	32.000000000002224	27.000000000001727	0.7800711465988971	1.1599062513300682	1245319
5250280	5563	111537.6338353157	28.951219512196904	29.00000000000189	1.499186771423201	32.00000000000207	26.000000000001357	0.8453500569461916	1.0944427205654574	1307569
5502280	5647	116738.03408169746	29.682926829270123	30.00000000000189	1.0592219878346343	33.00000000000189	27.000000000001535	0.8503430031875943	1.0539384727872632	1370569
